#
# This file is made from pedestal file determined by Tony
# from RUN7705. I added constant gain values (80,30) so that
# this can be used as the base calibration of RICH.
#
# Name (bankID=1)
ADC
# start time 
2000 5 1 0 0 0
# end time 
2000 9 1 0 0 0
# description 
ADC pedestal from RUN7705. PE=80, PEW=30 for all live channels.
# calibration data. 5120 entries
# status PMT Ped PedW PE PEW Nped N1 N2 N3 chisqr
SM 300 -0.612454 2.22418 80 30 1691.39 0 0 0 8.56743
SM 301 -0.762402 2.13296 80 30 1749.83 0 0 0 18.7036
SM 302 -0.472888 2.19398 80 30 1710.91 0 0 0 13.7285
SM 303 -0.728523 2.41458 80 30 1557.88 0 0 0 24.0424
SM 304 -1.33496 5.68433 80 30 661.992 0 0 0 33.4624
SM 305 -1.23383 4.14655 80 30 904.733 0 0 0 36.4621
SM 306 -1.27366 3.51181 80 30 1074.04 0 0 0 28.4987
SM 307 -1.21837 3.44222 80 30 1095.85 0 0 0 26.151
SM 308 -0.9559 3.25736 80 30 1162.82 0 0 0 20.8655
SM 309 -1.19483 3.26022 80 30 1159.84 0 0 0 18.4235
SM 310 -1.42799 3.3109 80 30 1131.72 0 0 0 35.0206
SM 311 -1.25458 3.50061 80 30 1079.31 0 0 0 18.7689
SM 312 -1.16725 3.61713 80 30 1034.78 0 0 0 43.8821
SM 313 -1.20552 3.42201 80 30 1102.94 0 0 0 28.0226
SM 314 -0.947322 3.29751 80 30 1138.28 0 0 0 33.5104
SM 315 -1.25207 3.50889 80 30 1070.91 0 0 0 20.6467
SM 316 -1.2827 3.67605 80 30 1022.36 0 0 0 28.3848
SM 317 -1.28228 3.78383 80 30 989.559 0 0 0 39.3458
SM 318 -1.14254 4.75073 80 30 787.235 0 0 0 43.9424
SM 319 -1.33017 5.14095 80 30 728.154 0 0 0 38.9233
SM 320 -2.16024 12.4771 80 30 290.762 0 0 0 106.134
SM 321 -1.64005 5.25642 80 30 718.838 0 0 0 22.0617
SM 322 -1.5696 3.68028 80 30 1031.09 0 0 0 16.5405
